Date MM/DD/YYYY,Invoice Number,Company,Category,Product Details,Quantity,Amount / Unit,Tax Structure,Input Tax / Unit,Total Input Tax / Unit,Total Amount,Month of Sale,Date MM/DD/YYYY.1,Invoice Number.1,Company.1,Amount / Unit.1,Output Tax,Total Output Tax Collected,Total Amount.1,Profit / Invoice,Purchase Price,Input Tax,Total Incoming Price,Sell Price,Output Tax.1,Nett Selling Price,VAT
5-Mar-21,ANU/20-21/01084,Company E,Mouse,Dell USB Mouse,1,210,18,37.8,37.8,247.8,21-Mar,5-Mar-21,HT096,Company 5,300,54,54,354,90,210,37.8,247.8,300,54,354,16.2
5-Mar-21,ANU/20-21/01084,Company E,UPS,V-Guard UPS 600VA,1,2000,18,360,360,2360,21-Mar,5-Mar-21,HT096,Company 5,2750,495,495,3245,750,2000,360,2360,2750,495,3245,135
5-Mar-21,ANU/20-21/01084,Company E,Memory,Hynix 8GB Laptop Memory Module DDR3 PC3L,1,2350,18,423,423,2773,21-Mar,11-Mar-21,HT098,Company H,2500,450,450,2950,150,2350,423,2773,2500,450,2950,27
5-Mar-21,ANU/20-21/01084,Company E,Adapter,Dell Original Adapter 65W,1,950,18,171,171,1121,21-Mar,11-Mar-21,HT098,Company H,1750,315,315,2065,800,950,171,1121,1750,315,2065,144
9-Mar-21,BAN/2021/057,Company I,Display,"Panasonic 43"" LH-43RM1DX",1,18600,28,5208,5208,23808,21-Mar,26-Mar-21,HT106,Company H,22656.24,6343.75,6343.75,28999.99,4056,18600,5208,23808,22656.24,6343.75,28999.99,1135.75
9-Mar-21,BAN/2021/057,Company I,Accessories,TY-ST42PCL,1,0.01,28,0,0,0.01,21-Mar,26-Mar-21,HT106,Company H,0.01,0,0,0.01,0,0.01,0,0.01,0.01,0,0.01,0
10-Mar-21,2020-21/FS/00617,Company B,Printer,Paper PickUp Feeder Unit,1,1200,18,216,216,1416,21-Mar,11-Mar-21,HT099,Company 45,1250,225,225,1475,50,1200,216,1416,1250,225,1475,9
10-Mar-21,2046,Company S,Projector,Anker Nebula Capsule Projector,2,22500,28,6300,12600,57600,21-Mar,12-Mar-21,HT101,Company H,25390.63,7109.38,14218.75,65000,5781,45000,12600,57600,50781.25,14218.75,65000,1618.75
10-Mar-21,ANU/20-21/01100,Company E,Desktop,HP Desktop,1,69000,18,12420,12420,81420,21-Mar,11-Mar-21,HT099,Company 45,77500,13950,13950,91450,8500,69000,12420,81420,77500,13950,91450,1530
10-Mar-21,ANU/20-21/01100,Company E,Monitor,HP 24Y Monitor,1,8350,18,1503,1503,9853,21-Mar,11-Mar-21,HT099,Company 45,9550,1719,1719,11269,1200,8350,1503,9853,9550,1719,11269,216
10-Mar-21,ANU/20-21/01100,Company E,Storage,Kingston 480 GB SSD Hard Disk Drive,1,4650,18,837,837,5487,21-Mar,11-Mar-21,HT099,Company 45,5750,1035,1035,6785,1100,4650,837,5487,5750,1035,6785,198
10-Mar-21,ANU/20-21/01100,Company E,Printer,Epson Printer L3150 P/S/C/W,1,10950,18,1971,1971,12921,21-Mar,11-Mar-21,HT099,Company 45,12200,2196,2196,14396,1250,10950,1971,12921,12200,2196,14396,225
10-Mar-21,ANU/20-21/01100,Company E,Keyboard,HP KeyBoard & Mouse Wireless,1,1150,18,207,207,1357,21-Mar,11-Mar-21,HT099,Company 45,1500,270,270,1770,350,1150,207,1357,1500,270,1770,63
10-Mar-21,ANU/20-21/01100,Company E,Display,"Laptop Screen TFT / LED Lenovo Ideapad 530s 14""",1,4575,18,823.5,823.5,5398.5,21-Mar,11-Mar-21,HT098,Company H,5900,1062,1062,6962,1325,4575,823.5,5398.5,5900,1062,6962,238.5
11-Mar-21,ANU/20-21/1104,Company E,Connector,UGreen USB-C Diplay Port Adapter,1,1485,18,267.3,267.3,1752.3,21-Mar,12-Mar-21,HT101,Company H,1800,324,324,2124,315,1485,267.3,1752.3,1800,324,2124,56.7
11-Mar-21,ANU/20-21/1104,Company E,Cartridge,HP 46 Black Ink Cartridge,2,675,18,121.5,243,1593,21-Mar,12-Mar-21,HT100,Company 45,800,144,288,1888,250,1350,243,1593,1600,288,1888,45
11-Mar-21,ANU/20-21/1104,Company E,Cartridge,HP 46 Tri-Color Ink Cartridge,2,675,18,121.5,243,1593,21-Mar,12-Mar-21,HT100,Company 45,750,135,270,1770,150,1350,243,1593,1500,270,1770,27
11-Mar-21,ANU/20-21/1104,Company E,Storage,Desktop Hard Disk Drive 500GB,1,1200,18,216,216,1416,21-Mar,27-Mar-21,HT105,Company 5,3500,630,630,4130,2300,1200,216,1416,3500,630,4130,414
11-Mar-21,ANU/20-21/1104,Company E,Accessories,UGreen USB-C Diplay Port Adapter,1,1485,18,267.3,267.3,1752.3,21-Mar,26-Mar-21,HT106,Company H,1800,324,324,2124,315,1485,267.3,1752.3,1800,324,2124,56.7
